Year,Total,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,Per Capita
1970,4053,493,1839,1556,78,87,1.1
1971,4208,530,1947,1559,84,88,1.12
1972,4376,560,2057,1576,89,94,1.14
1973,4614,588,2241,1581,95,110,1.18
1974,4623,597,2245,1579,96,107,1.16
1975,4596,604,2132,1673,95,92,1.13
1976,4864,630,2314,1710,103,108,1.18
1977,5026,650,2398,1765,108,104,1.19
1978,5087,680,2392,1793,116,106,1.19
1979,5369,721,2544,1887,119,98,1.23
1980,5315,740,2422,1947,120,86,1.2
1981,5152,756,2289,1921,121,64,1.14
1982,5113,740,2196,1992,121,64,1.11
1983,5094,741,2176,1995,125,58,1.09
1984,5280,808,2199,2094,128,51,1.11
1985,5439,837,2186,2237,131,49,1.12
1986,5607,831,2293,2300,137,46,1.14
1987,5752,894,2306,2364,143,44,1.15
1988,5965,937,2412,2414,152,50,1.17
1989,6097,985,2459,2457,156,41,1.17
1990,6127,1019,2492,2419,157,40,1.16
1991,6217,1063,2605,2345,161,44,1.16
1992,6164,1095,2510,2357,167,35,1.13
1993,6162,1129,2523,2298,176,36,1.11
1994,6266,1139,2546,2358,186,38,1.11
1995,6398,1157,2565,2442,197,36,1.12
1996,6542,1209,2624,2469,203,37,1.13
1997,6651,1208,2700,2495,209,38,1.13
1998,6643,1243,2766,2391,209,35,1.12
1999,6610,1270,2737,2352,217,33,1.1
2000,6765,1288,2838,2367,226,45,1.11
2001,6927,1312,2840,2492,237,46,1.12
2002,6996,1344,2831,2521,252,48,1.12
2003,7416,1391,2959,2743,276,48,1.17
2004,7807,1437,3053,2967,298,53,1.21
2005,8093,1480,3076,3157,320,60,1.24
2006,8370,1525,3089,3339,356,61,1.27
2007,8566,1572,3081,3464,382,68,1.28
2008,8783,1631,3122,3571,388,71,1.3
2009,8740,1585,3056,3620,413,66,1.28
2010,9167,1702,3114,3842,450,59,1.33
